store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,name_sort,country_title,id,text
2061,1,9960,UA,30,50.477305,30.449716,,A,10,10,2061,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. О. Теліги, 31/1",,Київ,,380676504071,ПН - НД 8:00 - 21:00,,,3,,Україна,2061,"Аврора #2061 Київ, вул. О. Теліги, 31/1"
2077,1,9420,UA,30,50.44007,30.442905,,A,10,10,2077,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Гетьмана Вадима, 40-А",,Київ,,380671915880,ПН - НД 8:00 - 21:00,,,3,,Україна,2077,"Аврора #2077 Київ, вул. Гетьмана Вадима, 40-А"
2088,1,9580,UA,30,50.523453,30.452764,,A,10,10,2088,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Литовський, 6",,Київ,,380671974274,ПН - НД 8:00 - 21:00,,,3,,Україна,2088,"Аврора #2088 Київ, просп. Литовський, 6"
2090,1,9920,UA,30,50.505248,30.439429,,A,10,10,2090,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Правди, 12-В",,Київ,,380676934364,ПН - НД 8:00 - 21:00,,,3,,Україна,2090,"Аврора #2090 Київ, просп. Правди, 12-В"
2094,1,9590,UA,30,50.454946,30.446499,,A,10,10,2094,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Перемоги, 46-В",,Київ,,380671976923,ПН - НД 8:00 - 21:00,,,3,,Україна,2094,"Аврора #2094 Київ, просп. Перемоги, 46-В"
2095,1,9880,UA,30,50.50234,30.604179,,A,10,10,2095,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Драйзера Теодора, 8",,Київ,,380675331929,ПН - НД 8:00 - 22:00,,,3,,Україна,2095,"Аврора #2095 Київ, вул. Драйзера Теодора, 8"
2096,1,9530,UA,30,50.441216,30.623604,,A,10,10,2096,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Соборності, 1",,Київ,,380671976373,ПН - НД 9:00 - 21:00,,,3,,Україна,2096,"Аврора #2096 Київ, просп. Соборності, 1"
2099,1,9620,UA,30,50.456075,30.446076,,A,10,10,2099,0,N,9825,Y,Y,МАКСІ,uk,"вул. О. Довженка, 1",,Київ,,380671949715,ПН - НД 8:00 - 21:00,,,3,,Україна,2099,"Аврора #2099 Київ, вул. О. Довженка, 1"
2101,1,9750,UA,30,50.441713,30.622051,,A,10,10,2101,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Соборності,  8/2",,Київ,,380676364151,ПН - НД 8:00 - 21:00,,,3,,Україна,2101,"Аврора #2101 Київ, просп. Соборності,  8/2"
2103,1,9600,UA,30,50.39577,30.637497,,A,10,10,2103,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Мишуги Олександра, 7-А",,Київ,,380970002740,ПН - НД 8:00 - 21:00,,,3,,Україна,2103,"Аврора #2103 Київ, вул. Мишуги Олександра, 7-А"
2108,1,10360,UA,30,50.422113,30.649925,,A,10,10,2108,0,N,9825,Y,Y,СТАНДАРТ,uk,"шосе Харківське, 144-А",,Київ,,380671107311,ПН - НД 8:00 - 21:00,,,3,,Україна,2108,"Аврора #2108 Київ, шосе Харківське, 144-А"
2118,1,10240,UA,30,50.45677,30.383337,,A,10,10,2118,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Берестейський, 87",,Київ,,380671323483,ПН - НД 8:00 - 21:00,,,3,,Україна,2118,"Аврора #2118 Київ, просп. Берестейський, 87"
2120,1,10000,UA,30,50.525273,30.499923,,A,10,10,2120,0,N,9825,Y,Y,МАКСІ,uk,"просп. Оболонський, 52-Б",,Київ,,380676936636,ПН - НД 8:00 - 21:00,,,3,,Україна,2120,"Аврора #2120 Київ, просп. Оболонський, 52-Б"
